N	serial time	parallel time
1024	0.033  	0.119  
2048	0.031  	0.027  
4096	0.059  	0.033  
8192	0.119  	0.036  
16384	0.243  	0.058  
32768	0.495  	0.091  
65536	0.978  	0.143  
131072	1.964  	0.455  
262144	3.917  	0.542  
524288	7.846  	1.443  
1048576	15.148 	4.891  
